Including only topk=-1 tokens.
New outer iteration, current iterations=0
vers---;Pe_.	 (1224,5634,29936,15666,5396)
0
Using 20 examples.
0 trigger=vers---;Pe_. [reward] curr=2.19 best=2.19
1 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
2 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
3 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
4 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
5 trigger=Don---3Pe_. [reward] curr=1.93 best=1.84
30 trigger=en_.|/**loy [reward] curr=-5.13 best=-7.99
31 trigger=en_.|/**loy [reward] curr=2.03 best=-7.99
32 trigger=en_.|/**loy [reward] curr=-4.88 best=-7.99
33 trigger=en_.|/**loy [reward] curr=0.87 best=-7.99
34 trigger=en_.|/**loy [reward] curr=-6.43 best=-7.99
35 trigger=en_.|/**loy [reward] curr=1.66 best=-7.99
36 trigger=en_.|/**loy [reward] curr=-6.37 best=-7.99
37 trigger=en_.|/**loy [reward] curr=-6.34 best=-7.99
38 trigger=en_.|/**loy [reward] curr=-6.59 best=-7.99
39 trigger=en_.|/**loy [reward] curr=-6.47 best=-7.99
[dets trigger] en_.|/**loy	 (427,5396,29989,7918,2376)
40 trigger=en_.|/**loy [reward] curr=1.22 best=-7.99
41 trigger=en_.|/**loy [reward] curr=-6.51 best=-7.99
42 trigger=en_.|/**loy [reward] curr=-7.99 best=-7.99
43 trigger=en_.|/**loy [reward] curr=-5.69 best=-7.99
44 trigger=en_.|/**loy [reward] curr=-7.01 best=-7.99
45 trigger=en_.|/**loy [reward] curr=-5.69 best=-7.99
46 trigger=en_.|/**loy [reward] curr=0.35 best=-7.99
47 trigger=en_.|/**loy [reward] curr=-6.12 best=-7.99
48 trigger=en_.|/**loy [reward] curr=0.87 best=-7.99
49 trigger=en_.|/**loy [reward] curr=-4.57 best=-7.99
50 trigger=en_.|/**loy [reward] curr=-4.58 best=-7.99
51 trigger=en_.|/**loy [reward] curr=-7.40 best=-7.99
52 trigger=en_.|/**loy [reward] curr=-6.30 best=-7.99
53 trigger=en_.|/**loy [reward] curr=1.39 best=-7.99
54 trigger=en_.|/**loy [reward] curr=-4.57 best=-7.99
55 trigger=en_.|/**loy [reward] curr=0.08 best=-7.99
56 trigger=en_.|/**loy [reward] curr=-3.67 best=-7.99
57 trigger=en_.|/**loy [reward] curr=1.10 best=-7.99
58 trigger=en_.|/**loy [reward] curr=1.61 best=-7.99
59 trigger=en_.|/**loy [reward] curr=-7.40 best=-7.99
[dets trigger] en_.|/**loy	 (427,5396,29989,7918,2376)
60 trigger=en_.|/**loy [reward] curr=-4.57 best=-7.99
61 trigger=en_.|/**loy [reward] curr=-6.30 best=-7.99
62 trigger=en_.|/**loy [reward] curr=-6.51 best=-7.99
63 trigger=en_.|/**loy [reward] curr=1.10 best=-7.99
64 trigger=en_.|/**loy [reward] curr=1.19 best=-7.99
65 trigger=en_.|/**loy [reward] curr=-3.88 best=-7.99
66 trigger=en_.|/**loy [reward] curr=1.22 best=-7.99
67 trigger=en_.|/**loy [reward] curr=-6.98 best=-7.99
68 trigger=en_.|/**loy [reward] curr=-4.57 best=-7.99
69 trigger=en_.|/**loy [reward] curr=1.44 best=-7.99
70 trigger=en_.|/**loy [reward] curr=1.66 best=-7.99
71 trigger=en_.|/**loy [reward] curr=-7.08 best=-7.99
72 trigger=en_.|/**loy [reward] curr=-6.11 best=-7.99
73 trigger=en_.|/**loy [reward] curr=1.52 best=-7.99
74 trigger=en_.|/**loy [reward] curr=-6.77 best=-7.99
75 trigger=en_.|/**loy [reward] curr=-3.67 best=-7.99
76 trigger=en_.|/**loy [reward] curr=-7.36 best=-7.99
77 trigger=en_.|/**loy [reward] curr=-5.13 best=-7.99
78 trigger=en_.|/**loy [reward] curr=-5.56 best=-7.99
79 trigger=en_.|/**loy [reward] curr=0.73 best=-7.99
